#;id;"full name";pack
0001;aave;Aave;0
0002;adex;AdEx;0
0050;aelf;elf;0
0003;aion;Aion;0
0004;akropolis;Akropolis;0
0005;algorand;Algorand;0
0006;amp-token;Amp;0
0007;ampleforth;Ampleforth;0
0008;ankr;Ankr;0
0006;aragon;Aragon;0
0010;ardor;Ardor;0
0011;ark;Ark;0
0012;atari;Atari;0
0013;audius;Audius;0
0014;augur;Augur;0
0015;avalanche-2;Avalanche;0
0016;balancer;Balancer;0
0017;bitcoin;Bitcoin;0
0018;bitshares;BitShares;0
0019;bittorrent-2;BitTorrent;0
0129;blockstack;Stacks;0
0020;bluzelle;Bluzelle;0
0021;bytom;Bytom;0
0022;cardano;Cardano;0
0023;cashaa;Cashaa;0
0024;cdai;cDAI;0
0025;celo;Celo;0
0026;chainlink;Chainlink;0
0027;chainx;ChainX;0
0028;chiliz;Chiliz;0
0029;chromaway;Chromia;0
0030;civic;Civic;0
0169;coinmetro;CoinMetro;0
0031;compound-governance-token;Compound;0
0034;compound-uniswap;cUNI;0
0035;compound-usd-coin;cUSDC;0
0036;compound-usdt;cUSDT;0
0032;cosmos;Cosmos;0
0033;coti;COTI;0
0037;dai;Dai;0
0038;dash;Dash;0
0039;decentraland;Decentraland;0
0040;decred;Decred;0
0041;dent;Dent;0
0042;derivadao;DerivaDAO;0
0043;digibyte;DigiByte;0
0044;divi;Divi;0
0045;dodo;DODO;0
0046;dogecoin;Dogecoin;0
0047;duckdaodime;DuckDaoDime;0
0048;edgeware;Edgeware;0
0049;electroneum;Electroneum;0
0051;elrond-erd-2;Elrond;0
0052;energi;Energi;0
0053;eos;EOS;0
0054;ethereum;Ethereum;0
0055;fantom;Fantom;0
0056;filecoin;Filecoin;0
0058;frax;Frax;0
0059;funfair;FunFair;0
0060;gala;Gala;0
0061;gas;Gas;0
0062;gatechain-token;GateToken;0
0057;gnosis;Gnosis;0
0063;golem;Golem;0
0064;handshake;Handshake;0
0065;harmony;Harmony;0
0066;hathor;Hathor;0
0067;haven;Haven;0
0068;hegic;Hegic;0
0069;helium;Helium;0
0070;hive;Hive;0
0071;holotoken;Holo;0
0073;icon;ICON;0
0074;iostoken;IOST;0
0075;iota;IOTA;0
0076;iotex;IoTeX;0
0077;iris-network;IRISnet;0
0078;julswap;JulSwap;0
0079;klever;Klever;0
0080;komodo;Komodo;0
0081;lambda;Lambda;0
0082;lisk;Lisk;0
0083;litecoin;Litecoin;0
0084;litentry;Litentry;0
0085;livepeer;Livepeer;0
0086;loopring;Loopring;0
0087;maidsafecoin;MaidSafeCoin;0
0088;maker;Maker;0
0089;math;MATH;0
0090;mdex;Mdex;0
0091;medibloc;Medibloc;0
0092;monacoin;MonaCoin;0
0093;monero;Monero;0
0094;nano;Nano;0
0095;near;Near;0
0096;nem;NEM;0
0097;neo;NEO;0
0098;nexo;NEXO;0
0099;nexus;Nexus;0
0136;noia-network;Syntropy;0
0100;nuls;Nuls;0
0101;numeraire;Numeraire;0
0132;nusd;sUSD;0
0102;okb;OKB;0
0103;ontology;Ontology;0
0104;parsiq;PARSIQ;0
0105;polkastarter;Polkastarter;0
0106;populous;Populous;0
0107;prometeus;Prometeus;0
0108;qtum;Qtum;0
0109;quark-chain;QuarkChain;0
0110;rarible;Rarible;0
0111;ravencoin;Ravencoin;0
0112;reddcoin;Reddcoin;0
0114;renbtc;renBTC;0
0113;republic-protocol;REN;0
0165;ripple;XRP;0
0115;sbtc;sBTC;0
0126;secret;Secret;0
0127;serum;Serum;0
0116;seth;sETH;0
0117;sharering;ShareToken;0
0118;siacoin;Siacoin;0
0119;singularitynet;SingularityNET;0
0120;skale;SKALE;0
0128;sora;Sora;0
0121;status;Status;0
0122;steem;Steem;0
0123;stellar;Stellar;0
0124;storj;Storj;0
0125;storm;StormX;0
0130;stratis;Stratis;0
0131;superfarm;SuperFarm;0
0133;sushi;Sushi;0
0134;swipe;Swipe;0
0135;swissborg;SwissBorg;0
0137;syscoin;Syscoin;0
0138;telcoin;Telcoin;0
0139;terra-luna;Terra;0
0140;terrausd;TerraUSD;0
0141;tether;Tether;0
0142;tezos;Tezos;0
0143;thorchain;THORChain;0
0144;thunder-token;ThunderCore;0
0145;titanswap;TitanSwap;0
0146;tokenlon;Tokenlon;0
0147;tomochain;TomoChain;0
0148;tron;TRON;0
0149;true-usd;TrueUSD;0
0150;trustswap;Trustswap;0
0151;ultra;Ultra;0
0152;uma;UMA;0
0153;unibright;Unibright;0
0154;uniswap;Uniswap;0
0155;utrust;UTRUST;0
0156;vai;Vai;0
0157;vechain;VeChain;0
0158;verge;Verge;0
0159;wanchain;Wanchain;0
0160;waves;Waves;0
0161;wax;WAX;0
0162;wazirx;WazirX;0
0163;whale;WHALE;0
0164;wink;WINk;0
0166;xsushi;xSUSHI;0
0167;zcash;Zcash;0
0072;zencash;Horizen;0
0168;zilliqa;Zilliqa;0
